dataset,method,classifier,rep,penalty_margin,penalty_d
ilpd,mutual_info,rf,5,0.033152815709525,-0.0709463087464686
ilpd,mutual_info,rf,6,0.0476049233639977,-0.0414000938915057
ilpd,mutual_info,rf,7,0.0675808527356902,0.0193015718183975
ilpd,mutual_info,rf,8,0.0712305131654007,0.0332092716151973
ilpd,mutual_info,rf,9,0.0378704035347794,-0.0232186396815058
ilpd,mutual_info,rf,10,0.0654323337845213,0.0314273487344522
ilpd,mutual_info,rf,11,0.0685354489014306,-0.005369459476499
ilpd,mutual_info,rf,12,0.0516023539629986,0.000985729020953
ilpd,mutual_info,rf,13,0.0532262199157173,-0.0411245900108081
ilpd,mutual_info,rf,14,0.0600191548805939,-0.0235663532906305
ilpd,mutual_info,rf,15,0.0699382302870273,-0.0006090094020249
ilpd,mutual_info,rf,16,0.0144340859390583,-0.0280131586981293
ilpd,mutual_info,rf,17,0.0437411374129343,-0.0334179669034883
ilpd,mutual_info,rf,18,0.0573904940434103,-0.0566412989607753
ilpd,mutual_info,rf,19,0.0711790442214613,-0.0108791431057959
ilpd,mutual_info,rf,20,0.0999241183147893,0.0187537690232534
ilpd,mutual_info,rf,21,0.0491982683493849,-0.046611731446082
ilpd,mutual_info,rf,22,0.070823309844291,-0.0409972263692107
ilpd,mutual_info,rf,23,0.0586688166907304,0.0047571081775217
ilpd,mutual_info,rf,24,0.0473977790396033,-0.0425859562901985
ilpd,mutual_info,rf,25,0.0537416520956441,-0.0291544733557742
ilpd,mutual_info,rf,26,0.0482492481043382,-0.0065396469491421
ilpd,mutual_info,rf,27,0.0714505743212512,-0.0614154879744096
ilpd,mutual_info,rf,28,0.0741205024494341,0.0132569306750348
ilpd,mutual_info,rf,29,0.0430251123836825,-0.0371823722226942
ilpd,mutual_info,logistic,0,0.023350441477996,0.0329559991939817
ilpd,mutual_info,logistic,1,0.025226399110817,-0.0025092789833182
ilpd,mutual_info,logistic,2,0.0129702734213434,0.0192355441738576
ilpd,mutual_info,logistic,3,0.0299438053235781,0.0336962663488003
ilpd,mutual_info,logistic,4,0.0234905485413569,0.0236940588398771
ilpd,mutual_info,logistic,5,0.0325264814941237,0.0372927794568779
ilpd,mutual_info,logistic,6,0.0189145865208522,0.0217964340150872
ilpd,mutual_info,logistic,7,0.0223419801988944,0.0269763723794111
ilpd,mutual_info,logistic,8,0.0300765429901567,0.0137170630369902
ilpd,mutual_info,logistic,9,0.0223241766146942,0.015856104341389
ilpd,mutual_info,logistic,10,0.0189016317129603,0.0315048614872872
ilpd,mutual_info,logistic,11,0.0152732811515979,0.0049571941026378
ilpd,mutual_info,logistic,12,0.0165812084985494,0.0161442893271659
ilpd,mutual_info,logistic,13,0.0191676623797039,0.0300564925224212
ilpd,mutual_info,logistic,14,0.0230796330731891,0.0165586244894047
ilpd,mutual_info,logistic,15,0.0212529187071762,0.0148418646923967
ilpd,mutual_info,logistic,16,0.0090751348585291,0.0251253440670637
ilpd,mutual_info,logistic,17,0.0238682965505282,0.032531303049301
ilpd,mutual_info,logistic,18,0.0336696977688471,0.0318988824526257
