# STATUS: validated  (REPS=30)
# calib_sha256: 82fc3197b3b595a1420782ddd9eefbc01b9e279219b75ad42ac3b5a51051d16b
# calibration (ECE/Brier) and subgroup gaps vs full-feature baseline; Holm-corrected within (dataset,method,classifier,outcome); 5000-bootstrap paired-diff CI
dataset,method,classifier,calibrate,frac,outcome,mean,ci_lo,ci_hi,n,delta,cohens_d,diff_ci_lo,diff_ci_hi,p_raw,p_holm,material,material_worse,material_better,calib_sha256
bcw,mutual_info,logistic,none,1.0,auroc,0.9941081254114648,0.9939057753054653,0.9942893284893729,30,,,,,,,False,False,False,82fc3197b3b595a1420782ddd9eefbc01b9e279219b75ad42ac3b5a51051d16b
bcw,mutual_info,logistic,none,0.25,brier,0.04585045792710611,0.0457249119506714,0.04597243865274842,30,0.019305216807774937,20.106665272743452,0.018965617659215797,0.019637865747372096,1.862645149230957e-09,1.862645149230957e-09,True,True,False,82fc3197b3b595a1420782ddd9eefbc01b9e279219b75ad42ac3b5a51051d16b
bcw,mutual_info,logistic,none,1.0,brier,0.02654524111933117,0.026217195067478126,0.026886827233908738,30,,,,,,,False,False,False,82fc3197b3b595a1420782ddd9eefbc01b9e279219b75ad42ac3b5a51051d16b
bcw,mutual_info,logistic,none,0.25,ece,0.046566896877604756,0.04570482312905444,0.04742627209749518,30,0.020890854823667836,6.229407787319612,0.01972291921446926,0.022048114844960207,1.862645149230957e-09,1.862645149230957e-09,True,True,False,82fc3197b3b595a1420782ddd9eefbc01b9e279219b75ad42ac3b5a51051d16b
bcw,mutual_info,logistic,none,1.0,ece,0.02567604205393692,0.024928731285816418,0.02641974209657406,30,,,,,,,False,False,False,82fc3197b3b595a1420782ddd9eefbc01b9e279219b75ad42ac3b5a51051d16b
bcw,mutual_info,logistic,none,0.25,aurc,0.019416399023873095,0.019053170158400107,0.019776960822216336,30,0.015097244121132952,12.311372854916456,0.014661739637914261,0.015504555001711724,1.862645149230957e-09,1.862645149230957e-09,True,True,False,82fc3197b3b595a1420782ddd9eefbc01b9e279219b75ad42ac3b5a51051d16b
bcw,mutual_info,logistic,none,1.0,aurc,0.004319154902740148,0.003990095377505426,0.0046849606795014275,30,,,,,,,False,False,False,82fc3197b3b595a1420782ddd9eefbc01b9e279219b75ad42ac3b5a51051d16b
bcw,mutual_info,logistic,none,0.25,net_benefit,0.31072727029291014,0.3105634494305166,0.31089187365081905,30,-0.015472405455409954,-16.23279057574891,-0.015809212317955314,-0.015136772557794054,1.862645149230957e-09,1.862645149230957e-09,True,True,False,82fc3197b3b595a1420782ddd9eefbc01b9e279219b75ad42ac3b5a51051d16b
bcw,mutual_info,logistic,none,1.0,net_benefit,0.32619967574832015,0.32585319163690823,0.32653454674564975,30,,,,,,,False,False,False,82fc3197b3b595a1420782ddd9eefbc01b9e279219b75ad42ac3b5a51051d16b
bcw,mutual_info,logistic,none,0.25,conformal_efficiency,0.9395326657129233,0.9381020505484027,0.9408679065331428,30,0.02899380066762034,7.360403571255724,0.027610872675250264,0.030329041487839714,1.6541482313769548e-06,1.6541482313769548e-06,True,True,False,82fc3197b3b595a1420782ddd9eefbc01b9e279219b75ad42ac3b5a51051d16b
bcw,mutual_info,logistic,none,1.0,conformal_efficiency,0.910538865045303,0.910061993323796,0.9110157367668098,30,,,,,,,False,False,False,82fc3197b3b595a1420782ddd9eefbc01b9e279219b75ad42ac3b5a51051d16b
bcw,mutual_info,logistic,none,0.25,selective_ece,0.021653987030398343,0.021253843033625576,0.022091580759675364,30,0.012391187605289834,5.973571052376524,0.011683802438889418,0.013132642272865211,1.862645149230957e-09,1.862645149230957e-09,True,True,False,82fc3197b3b595a1420782ddd9eefbc01b9e279219b75ad42ac3b5a51051d16b
bcw,mutual_info,logistic,none,1.0,selective_ece,0.00926279942510851,0.008715295892099505,0.009805649113273331,30,,,,,,,False,False,False,82fc3197b3b595a1420782ddd9eefbc01b9e279219b75ad42ac3b5a51051d16b
bcw,mutual_info,logistic,sigmoid,0.25,accuracy,0.9366237482117312,0.936003814973772,0.9372436814496898,30,-0.029518359561277976,-13.189890492732268,-0.030329041487839718,-0.028755364806866905,1.7029908934686465e-06,1.7029908934686465e-06,True,True,False,82fc3197b3b595a1420782ddd9eefbc01b9e279219b75ad42ac3b5a51051d16b
bcw,mutual_info,logistic,sigmoid,1.0,accuracy,0.9661421077730089,0.9655698617072007,0.9667143538388172,30,,,,,,,False,False,False,82fc3197b3b595a1420782ddd9eefbc01b9e279219b75ad42ac3b5a51051d16b
bcw,mutual_info,logistic,sigmoid,0.25,auroc,0.9794146780457457,0.9790254058779828,0.9797973101523855,30,-0.015020505293929388,-13.530564991970975,-0.01541100053150692,-0.01462971938852555,1.862645149230957e-09,1.862645149230957e-09,True,True,False,82fc3197b3b595a1420782ddd9eefbc01b9e279219b75ad42ac3b5a51051d16b
bcw,mutual_info,logistic,sigmoid,1.0,auroc,0.9944351833396752,0.994267871918921,0.9945907095012895,30,,,,,,,False,False,False,82fc3197b3b595a1420782ddd9eefbc01b9e279219b75ad42ac3b5a51051d16b
bcw,mutual_info,logistic,sigmoid,0.25,brier,0.04647550442151178,0.046368871028494775,0.04658236427571202,30,0.020584325762213883,25.291767075024545,0.02029747646241251,0.020866047996377805,1.862645149230957e-09,1.862645149230957e-09,True,True,False,82fc3197b3b595a1420782ddd9eefbc01b9e279219b75ad42ac3b5a51051d16b
